en.dm00109906,STMicroelectronics,CS70P,typ_supply_current,200 uA,ffe002af_0.csv
lmc6462_lmc6464,Texas Instruments,LMC6462AIMX/NOPB,typ_supply_current,50 uA,ffe002af_5.csv
lmc6462_lmc6464,Texas Instruments,LMC6462AIMX/NOPB,typ_gbp,50 kHz,ffe002af_5.csv
tlv2474,Texas Instruments,TLV2472AIDR,typ_supply_current,600 uA,ffe002af_5.csv
tlv2474,Texas Instruments,TLV2472AIDR,typ_gbp,2.8 MHz,ffe002af_5.csv
lm6211,Texas Instruments,LM6211MF/NOPB,typ_supply_current,1.05 mA,ffe002af_6.csv
lm6211,Texas Instruments,LM6211MF/NOPB,typ_gbp,20 MHz,ffe002af_6.csv
lmv841,Texas Instruments,LMV842MAX/NOPB,typ_supply_current,1.03 mA,ffe002af_6.csv
lmv841,Texas Instruments,LMV842MAX/NOPB,typ_gbp,4.5 MHz,ffe002af_6.csv
opa2317,Texas Instruments,OPA2317IDGKT,typ_supply_current,21 uA,ffe002af_6.csv
opa2317,Texas Instruments,OPA2317IDGKT,typ_gbp,300 kHz,ffe002af_6.csv
lf412-n,Texas Instruments,LF412CN/NOPB,typ_supply_current,3.6 mA,ffe002af_6.csv
lf412-n,Texas Instruments,LF412CN/NOPB,typ_gbp,4 MHz,ffe002af_6.csv
lmv841,Texas Instruments,LMV842MM/NOPB,typ_supply_current,1.03 mA,ffe002af_6.csv
lmv841,Texas Instruments,LMV842MM/NOPB,typ_gbp,4.5 MHz,ffe002af_6.csv
opa2330,Texas Instruments,OPA4330AIDR,typ_supply_current,21 uA,ffe002af_6.csv
opa2330,Texas Instruments,OPA4330AIDR,typ_gbp,350 kHz,ffe002af_6.csv
opa2330,Texas Instruments,OPA4330AIPWR,typ_supply_current,21 uA,ffe002af_6.csv
opa2330,Texas Instruments,OPA4330AIPWR,typ_gbp,350 kHz,ffe002af_6.csv
opa363,Texas Instruments,OPA4364AIDR,typ_supply_current,1.1 mA,ffe002af_6.csv
opa363,Texas Instruments,OPA4364AIDR,typ_gbp,7 MHz,ffe002af_6.csv
opa2330,Texas Instruments,OPA2330AIDGKT,typ_supply_current,21 uA,ffe002af_6.csv
opa2330,Texas Instruments,OPA2330AIDGKT,typ_gbp,350 kHz,ffe002af_6.csv
opa363,Texas Instruments,OPA364IDBVT,typ_supply_current,1.1 mA,ffe002af_6.csv
opa363,Texas Instruments,OPA364IDBVT,typ_gbp,7 MHz,ffe002af_6.csv
opa363,Texas Instruments,OPA2363AIDGST,typ_supply_current,1.1 mA,ffe002af_7.csv
opa363,Texas Instruments,OPA2363AIDGST,typ_gbp,7 MHz,ffe002af_7.csv
opa552,Texas Instruments,OPA552UA/2K5,typ_supply_current,7 mA,ffe002af_7.csv
opa552,Texas Instruments,OPA552UA/2K5,typ_gbp,12 MHz,ffe002af_7.csv
opa378,Texas Instruments,OPA2378AIDCNT,typ_supply_current,125 uA,ffe002af_7.csv
opa378,Texas Instruments,OPA2378AIDCNT,typ_gbp,900 kHz,ffe002af_7.csv
opa191,Texas Instruments,OPA191IDBVT,typ_supply_current,140 uA,ffe002af_7.csv
opa191,Texas Instruments,OPA191IDBVT,typ_gbp,2.5 MHz,ffe002af_7.csv
opa2357,Texas Instruments,OPA2357AIDGST,typ_supply_current,4.9 mA,ffe002af_7.csv
opa2357,Texas Instruments,OPA2357AIDGST,typ_gbp,100 MHz,ffe002af_7.csv
opa552,Texas Instruments,OPA551UA/2K5,typ_supply_current,7 mA,ffe002af_7.csv
opa552,Texas Instruments,OPA551UA/2K5,typ_gbp,3 MHz,ffe002af_7.csv
lmc6462_lmc6464,Texas Instruments,LMC6464AIMX/NOPB,typ_supply_current,90 uA,ffe002af_8.csv
lmc6462_lmc6464,Texas Instruments,LMC6464AIMX/NOPB,typ_gbp,50 kHz,ffe002af_8.csv
lmv841,Texas Instruments,LMV844MTX/NOPB,typ_supply_current,1.03 mA,ffe002af_8.csv
lmv841,Texas Instruments,LMV844MTX/NOPB,typ_gbp,4.5 MHz,ffe002af_8.csv
amc1200,Texas Instruments,AMC1200BDWVR,typ_supply_current,5.4 mA,ffe002af_8.csv
opa2330,Texas Instruments,OPA4330AIRGYT,typ_supply_current,21 uA,ffe002af_8.csv
opa2330,Texas Instruments,OPA4330AIRGYT,typ_gbp,350 kHz,ffe002af_8.csv
ths4081,Texas Instruments,THS4082IDGNR,typ_supply_current,3.4 mA,ffe002af_8.csv
lmc6462_lmc6464,Texas Instruments,LMC6462AIM/NOPB,typ_supply_current,50 uA,ffe002af_8.csv
lmc6462_lmc6464,Texas Instruments,LMC6462AIM/NOPB,typ_gbp,50 kHz,ffe002af_8.csv
lm7372,Texas Instruments,LM7372MRX/NOPB,typ_supply_current,13 mA,ffe002af_8.csv
lm7372,Texas Instruments,LM7372MRX/NOPB,typ_gbp,120 MHz,ffe002af_8.csv
amc1200-q1,Texas Instruments,AMC1200TDWVRQ1,typ_supply_current,5.4 mA,ffe002af_8.csv
lmv841,Texas Instruments,LMV842MA/NOPB,typ_supply_current,1.03 mA,ffe002af_9.csv
lmv841,Texas Instruments,LMV842MA/NOPB,typ_gbp,4.5 MHz,ffe002af_9.csv
amc1200,Texas Instruments,AMC1200SDUBR,typ_supply_current,5.4 mA,ffe002af_9.csv
amc1200,Texas Instruments,AMC1200BDUBR,typ_supply_current,5.4 mA,ffe002af_9.csv
opa552,Texas Instruments,OPA551FA/500,typ_supply_current,7 mA,ffe002af_9.csv
opa552,Texas Instruments,OPA551FA/500,typ_gbp,3 MHz,ffe002af_9.csv
lf412-n,Texas Instruments,LF412ACN/NOPB,typ_supply_current,3.6 mA,ffe002af_9.csv
lf412-n,Texas Instruments,LF412ACN/NOPB,typ_gbp,4 MHz,ffe002af_9.csv
